date,time,open,high,low,close,volume
2021-10-12,19:15,1.35996,1.36025,1.35950,1.35967,1612
2021-10-12,19:30,1.35967,1.35982,1.35899,1.35910,1643
2021-10-12,19:45,1.35908,1.35908,1.35844,1.35870,1727
2021-10-12,20:00,1.35869,1.35869,1.35807,1.35825,2143
2021-10-12,20:15,1.35824,1.35829,1.35763,1.35802,1300
2021-10-12,20:30,1.35802,1.35853,1.35792,1.35848,1281
2021-10-12,20:45,1.35847,1.35882,1.35813,1.35842,1294
2021-10-12,21:00,1.35843,1.35901,1.35819,1.35901,1373
2021-10-12,21:15,1.35901,1.35966,1.35901,1.35954,1080
2021-10-12,21:30,1.35955,1.35972,1.35905,1.35927,1094
2021-10-12,21:45,1.35927,1.35953,1.35912,1.35930,1400
2021-10-12,22:00,1.35930,1.35959,1.35908,1.35915,1012
2021-10-12,22:15,1.35915,1.35955,1.35896,1.35929,1025
2021-10-12,22:30,1.35928,1.35938,1.35908,1.35909,705
2021-10-12,22:45,1.35909,1.35952,1.35877,1.35931,763
2021-10-12,23:00,1.35929,1.35929,1.35902,1.35918,534
2021-10-12,23:15,1.35918,1.35920,1.35882,1.35882,374
2021-10-12,23:30,1.35882,1.35891,1.35878,1.35879,390
2021-10-12,23:45,1.35879,1.35909,1.35822,1.35866,498
2021-10-13,00:00,1.35858,1.35882,1.35832,1.35853,35
2021-10-13,00:15,1.35830,1.35863,1.35784,1.35840,34
2021-10-13,00:30,1.35861,1.35872,1.35844,1.35859,49
2021-10-13,00:45,1.35869,1.35869,1.35838,1.35841,866
2021-10-13,01:00,1.35853,1.35893,1.35848,1.35867,332
2021-10-13,01:15,1.35866,1.35881,1.35865,1.35878,347
2021-10-13,01:30,1.35878,1.35898,1.35878,1.35897,269
2021-10-13,01:45,1.35896,1.35899,1.35865,1.35871,238
2021-10-13,02:00,1.35872,1.35877,1.35843,1.35849,306
2021-10-13,02:15,1.35850,1.35855,1.35828,1.35842,209
2021-10-13,02:30,1.35842,1.35842,1.35816,1.35819,235
2021-10-13,02:45,1.35826,1.35842,1.35752,1.35762,498
2021-10-13,03:00,1.35764,1.35839,1.35753,1.35827,959
2021-10-13,03:15,1.35828,1.35861,1.35808,1.35849,761
2021-10-13,03:30,1.35850,1.35945,1.35849,1.35945,885
2021-10-13,03:45,1.35945,1.35962,1.35912,1.35960,765
2021-10-13,04:00,1.35960,1.36015,1.35949,1.35997,820
2021-10-13,04:15,1.35997,1.36022,1.35989,1.36008,800
2021-10-13,04:30,1.36007,1.36105,1.36006,1.36096,655
2021-10-13,04:45,1.36097,1.36127,1.36084,1.36109,469
2021-10-13,05:00,1.36110,1.36165,1.36106,1.36144,396
2021-10-13,05:15,1.36147,1.36179,1.36140,1.36151,320
2021-10-13,05:30,1.36149,1.36158,1.36110,1.36136,681
2021-10-13,05:45,1.36136,1.36142,1.36116,1.36138,353
2021-10-13,06:00,1.36145,1.36149,1.36115,1.36136,435
2021-10-13,06:15,1.36135,1.36160,1.36135,1.36150,359
2021-10-13,06:30,1.36150,1.36162,1.36127,1.36138,331
2021-10-13,06:45,1.36137,1.36147,1.36127,1.36136,357
2021-10-13,07:00,1.36137,1.36169,1.36134,1.36151,293
2021-10-13,07:15,1.36153,1.36166,1.36137,1.36147,435
2021-10-13,07:30,1.36147,1.36155,1.36131,1.36155,395
2021-10-13,07:45,1.36155,1.36178,1.36148,1.36177,391
2021-10-13,08:00,1.36177,1.36180,1.36125,1.36127,607
2021-10-13,08:15,1.36127,1.36137,1.36073,1.36083,768
2021-10-13,08:30,1.36083,1.36106,1.36063,1.36081,748
2021-10-13,08:45,1.36082,1.36133,1.36081,1.36096,482
2021-10-13,09:00,1.36096,1.36176,1.36046,1.36063,1245
2021-10-13,09:15,1.36062,1.36101,1.36028,1.36061,1362
2021-10-13,09:30,1.36060,1.36159,1.36047,1.36126,1408
2021-10-13,09:45,1.36122,1.36180,1.36106,1.36159,1549
2021-10-13,10:00,1.36159,1.36185,1.36014,1.36103,2290
2021-10-13,10:15,1.36103,1.36155,1.36062,1.36135,2109
2021-10-13,10:30,1.36135,1.36278,1.36118,1.36241,2321
2021-10-13,10:45,1.36240,1.36269,1.36179,1.36206,1907
2021-10-13,11:00,1.36208,1.36275,1.36205,1.36268,1759
2021-10-13,11:15,1.36268,1.36362,1.36259,1.36341,1851
2021-10-13,11:30,1.36341,1.36383,1.36321,1.36375,1697
2021-10-13,11:45,1.36374,1.36375,1.36255,1.36268,1759
2021-10-13,12:00,1.36268,1.36324,1.36207,1.36283,1700
2021-10-13,12:15,1.36283,1.36345,1.36273,1.36276,1346
2021-10-13,12:30,1.36277,1.36298,1.36165,1.36190,1584
2021-10-13,12:45,1.36191,1.36354,1.36189,1.36305,1727
2021-10-13,13:00,1.36306,1.36404,1.36265,1.36393,1633
2021-10-13,13:15,1.36392,1.36442,1.36373,1.36373,1463
2021-10-13,13:30,1.36374,1.36379,1.36285,1.36316,1200
2021-10-13,13:45,1.36315,1.36344,1.36217,1.36226,1513
2021-10-13,14:00,1.36228,1.36296,1.36220,1.36272,1621
2021-10-13,14:15,1.36275,1.36286,1.36165,1.36169,1243
2021-10-13,14:30,1.36168,1.36240,1.36167,1.36212,1923
2021-10-13,14:45,1.36211,1.36249,1.36190,1.36208,1832
2021-10-13,15:00,1.36204,1.36209,1.36107,1.36179,1578
2021-10-13,15:15,1.36179,1.36179,1.36067,1.36112,1766
2021-10-13,15:30,1.36114,1.36185,1.35900,1.35926,4123
2021-10-13,15:45,1.35925,1.35985,1.35872,1.35952,2806
2021-10-13,16:00,1.35952,1.36142,1.35934,1.36141,2634
2021-10-13,16:15,1.36142,1.36287,1.36086,1.36284,2174
2021-10-13,16:30,1.36285,1.36467,1.36283,1.36400,4023
2021-10-13,16:45,1.36400,1.36430,1.36299,1.36385,3096
2021-10-13,17:00,1.36385,1.36392,1.36217,1.36234,2951
2021-10-13,17:15,1.36231,1.36455,1.36212,1.36435,2815
2021-10-13,17:30,1.36436,1.36457,1.36347,1.36449,2357
2021-10-13,17:45,1.36450,1.36454,1.36293,1.36322,2563
2021-10-13,18:00,1.36322,1.36472,1.36315,1.36433,1934
2021-10-13,18:15,1.36435,1.36479,1.36357,1.36407,1608
2021-10-13,18:30,1.36407,1.36450,1.36354,1.36438,1685
2021-10-13,18:45,1.36437,1.36483,1.36401,1.36439,1532
2021-10-13,19:00,1.36439,1.36496,1.36437,1.36477,1331
2021-10-13,19:15,1.36476,1.36513,1.36446,1.36466,1015
2021-10-13,19:30,1.36467,1.36502,1.36434,1.36477,1214
2021-10-13,19:45,1.36477,1.36479,1.36415,1.36415,1124
2021-10-13,20:00,1.36415,1.36521,1.36400,1.36507,1306
2021-10-13,20:15,1.36507,1.36561,1.36490,1.36552,1005
2021-10-13,20:30,1.36551,1.36593,1.36526,1.36566,1408
2021-10-13,20:45,1.36567,1.36567,1.36457,1.36459,1019
2021-10-13,21:00,1.36458,1.36492,1.36379,1.36409,2576
2021-10-13,21:15,1.36408,1.36421,1.36327,1.36348,1592
